GEOID,BeerPO,Pharmacies,physicians,MentalHeal,Generalhos,Secialtyho,ZoosPO,NaturePark,CasinosPO,FitnessPO,DrinkingPl,ReligiousP,Geocode_1,Rural_urba,X,Y,Walkabilit,CountyDiss,Five_ave_c,New_rural,Population,Populati_1,Populati_2,NoHealthIn,X_Black,Neighbor_D,X_Immigran,Beer,Pharmaci_1,physicia_1,MentalHe_1,Generalh_1,Secialty_1,Zoos,NaturePa_1,Casinos,Fitness,Drinking_1,Religiou_1,X_HouseRen,X_TotalGre,Depression,Mental_hea
45051051503,0,1,2,0,0,2,0,0,1,3,2,7,2,2,1569136.937,-439440.1064,9.166666667,0.41628135,2.381401137,0,2470.864,45.24,13.38,26.52,4.01,-0.020614608,23.3872708,2.352106,6.063943,7.409417,1.204304,7.846109,0.071532,0.354195,14.445361,2.198169,11.535754,8.770998,10.043934,41.52,15.18,22.10000038,16.79999924
45079001600,0,1,6,6,0,0,0,4,0,0,5,4,2,1,1372794.389,-438870.9897,15.25,0.458914301,2849.4494,0,1912.039,43.63,3.68,14.4,17.28,-0.195617407,9.5926413,3.345216,17.545763,4.770564,1.577298,7.164598,0.680224,1.146655,21.745066,1.146286,24.034217,14.104979,11.370668,75.44,3.12,19.5,14.39999962
45035010100,0,0,0,0,0,0,0,0,0,0,0,9,2,4,1425733.084,-526424.3806,2.583333333,0.236148407,568.3111576,1,27.99679,53.05,24.65,6.91,43.94,0.457421361,0.5513147,1.119976,10.981667,8.063519,0.259327,11.126393,0.650375,0.364998,7.881927,0.176283,7.674651,2.174921,18.147152,25.74,34.56,21.39999962,16.5
45013000100,0,1,1,0,0,0,0,0,0,0,0,12,2,3,1428877.699,-588874.7062,4.5,0.547122122,1280.964228,0,29.16699,53,26.6,6.23,64.57,-0.17708789,1.7552534,0.92179,5.1087,2.337164,0.287061,9.270981,0.296614,0.066787,7.684873,0.125604,4.576892,1.470392,6.737296,10.91,24.94,17.5,14.10000038
45063020907,0,0,3,0,0,0,0,0,0,0,1,4,2,1,1357381.834,-455216.4574,4.166666667,0.378623054,1606.781662,0,969.6714,53.32,8.23,7.38,21.66,0.213997944,3.9979884,1.624325,11.757783,10.535194,1.156838,19.225493,0.563196,1.039838,32.753024,0.470146,24.5976,4.70434,19.091714,20.99,49.5,22.29999924,17.20000076
45045002602,0,1,1,0,0,0,0,0,0,0,0,4,2,1,1243070.558,-358366.8096,7,0.40363857,2134.526712,0,2838.449,53.94,16.56,11.75,13.16,-0.096927147,10.0135014,1.365083,12.253489,7.473905,0.916255,10.087113,0.258545,0.246384,10.121387,0.119652,11.228949,5.771804,17.573665,27.05,11.37,20.29999924,13.5
45075011200,1,1,0,0,0,0,0,0,0,0,0,4,2,2,1400652.401,-490995.0988,9.583333333,0.302284027,3545.421328,0,3153.983,57.72,5.58,12.57,91.75,1.079940474,4.7937132,1.348632,4.973521,2.463317,0.256885,3.859955,0.03117,0.154093,8.61348,0.181732,5.965222,1.749153,22.94872,67,2.01,18.60000038,20.29999924
45015020722,0,0,0,0,0,0,0,1,0,0,0,3,2,2,1481719.186,-532457.3504,6.222222222,0.293936663,1222.155087,0,3239.479,49.4,15.31,4.13,10.57,-0.947257034,2.5396825,1.423425,8.219276,8.23688,2.322448,16.969036,0.783498,0.715348,15.129007,0.131592,16.676243,6.25342,14.441378,4.02,1.75,21,12.5
45051051301,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1567971.921,-450628.6568,8.916666667,0.41628135,2.381401137,0,2226.779,54.39,44.67,14.07,0,-0.461760433,2.0763563,7.646357,12.29526,8.357913,0.62001,17.316844,0.337361,0.301486,26.459089,1.480579,12.207703,12.116853,16.106352,9.24,2.74,20.79999924,12.30000019
45087030700,0,0,0,0,0,0,0,1,0,0,0,9,2,3,1301814.19,-379945.9031,2.055555556,0.29067432,2139.814687,0,18.7734,54.28,23.3,5.01,23.14,-0.190417603,0.2444988,1.448257,10.03401,7.565997,0.811081,23.837245,0.308179,0.548953,8.442842,0.256546,9.687602,2.002123,28.361108,13.7,83.96,21.60000038,15.10000038
45067950100,0,0,0,0,0,0,0,0,0,0,0,13,2,4,1512975.998,-397376.3891,4.625,0.171195934,2081.270373,1,38.98556,57.77,16.04,15.09,57.81,0.83052563,0.546563,0.936786,7.690025,5.336305,0.829032,16.007387,0.225203,0.035387,7.383125,0.114672,3.882345,1.181592,13.520959,45.24,27.18,21.60000038,17.70000076
45019002606,0,1,2,0,1,0,0,3,0,3,0,4,2,1,1492956.325,-551726.3384,10.08333333,0.526288399,160.2634219,0,934.7636,49.19,29.34,3.81,4.68,-0.75159385,3.2794053,1.077111,16.377196,2.839701,0.691454,16.430183,0.037192,0.972047,22.915948,0,20.555436,7.590583,12.525627,7.85,9.8,17.29999924,9.899999619
45079011419,0,0,0,0,0,0,0,0,0,1,0,5,2,1,1383693.234,-423680.4912,6.916666667,0.458914301,2849.4494,0,2383.517,52.73,12.91,7.27,56.05,-0.096848776,1.8342234,2.949758,10.10646,6.789902,0.785459,10.845608,0.517748,0.5653,12.149723,0.255833,15.351891,4.668424,18.136003,14.44,9.74,18.10000038,13.30000019
45041001200,0,0,4,2,0,0,0,2,0,0,0,2,2,1,1483616.42,-399961.904,6.833333333,0.385235304,1996.037422,0,1556.848,54.14,18.58,5.51,9.74,-0.991652239,2.8935905,1.235875,24.344478,11.264423,2.402776,27.615796,0.435804,0.151735,24.216812,0.262589,32.062473,12.795024,26.609604,25.87,14.66,18.5,10.69999981
45041001100,1,1,10,8,0,0,0,1,0,6,1,6,2,1,1482894.202,-398853.6835,9.533333333,0.385235304,1996.037422,0,2427.426,54.67,12.91,10.35,39.01,0.058496248,3.4212247,2.196863,14.027254,5.477297,1.513825,19.960607,0.071508,0.155931,14.781206,0.039779,16.113549,6.942898,14.131712,63.06,3.26,20.79999924,16.70000076
45079002603,0,0,0,0,0,0,0,2,0,0,0,4,2,1,1378706.567,-440810.6514,13.55555556,0.458914301,2849.4494,0,4466.171,55.65,9.42,10.96,39.16,0.154985854,1.6935697,3.299703,10.177297,3.426086,0.683806,6.562532,0.219903,0.369496,15.980698,0.217397,11.741519,5.538623,9.165394,67.86,3.65,21.20000076,16.5
45019002900,1,1,7,2,0,1,1,3,0,1,2,2,2,1,1493107.041,-554791.4261,14.33333333,0.526288399,160.2634219,0,2823.247,53.23,16.78,10.04,33.39,-0.620090618,1.3629842,1.313457,6.22447,3.604852,0.885675,26.679435,0.058969,0.792176,22.709744,0.047894,12.783328,9.452186,8.629881,31.16,1.9,18.79999924,13.60000038
45063021021,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1346568.286,-440446.2501,3,0.378623054,1606.781662,0,647.8584,57.33,21.2,6.29,0,-0.774452461,1.2786361,4.46385,20.20201,11.727194,2.134187,23.198346,0.621239,0.805216,18.054053,0.577771,43.168754,10.057027,29.743523,6.71,25.87,19,11.5
45063021020,0,0,0,0,0,0,0,2,0,2,0,6,2,1,1363002.393,-442897.1361,6.5,0.378623054,1606.781662,0,2010.992,52.07,12.49,8.92,4.92,-0.191235444,2.3572914,2.197384,10.628826,7.433172,0.915299,14.706239,0.502906,0.571493,15.143127,0.185126,19.483565,3.65486,19.005967,24.16,22.91,20.60000038,14.39999962
45031010700,2,4,1,0,0,0,0,2,0,1,2,9,2,2,1454421.07,-385558.2434,8.944444444,0.319974391,3324.367831,0,1124.908,58.28,13.64,17.82,97.91,1.040052293,0.2932551,1.617014,7.949209,2.750021,0.150797,10.572986,0,0.032871,9.599949,0.079545,3.36906,0.920298,16.442675,49.93,13.15,18.39999962,18.79999924
45083020800,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1275623.621,-349615.6411,9.166666667,0.400520119,1975.131956,0,2976.559,52.47,6.25,20.07,88.65,3.543707501,0.0822368,2.791382,5.285362,2.881223,1.045966,11.427919,0.156188,0,17.805119,0,3.598267,0.782048,8.328399,90.68,9.02,26.79999924,27.70000076
45051051501,1,0,0,0,0,0,0,0,0,0,3,3,2,2,1566593.41,-439654.3662,6.416666667,0.41628135,2.381401137,0,2904.39,54.05,20.36,19.94,7.98,-0.293391249,12.3392091,2.418712,7.461781,8.104919,0.931444,11.931164,0.261582,0.331189,15.01883,1.408845,10.942336,15.594914,10.099303,27.47,10.18,23.39999962,16.60000038
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45019004901,1,1,0,0,0,0,1,2,0,1,2,3,2,1,1511348.068,-551661.1845,13.83333333,0.526288399,160.2634219,0,1525.76,48.65,25.08,6.05,0,-0.875106214,4,4.63701,10.960102,5.052903,2.047703,17.825263,0.386808,0.848557,41.696966,0.24267,34.068444,17.123876,16.34701,22.75,6.33,17.39999962,9.300000191
